Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,NaN
15:52:19,12/7/2024,FRI,62.10,22.90,22.87,242.59,230.77,0.07944
15:52:19,12/7/2024,FRI,62.10,22.90,22.87,242.73,230.75,0.08010
15:52:19,12/7/2024,FRI,62.10,22.90,22.87,242.61,230.65,0.07964
15:52:20,12/7/2024,FRI,62.10,22.90,22.87,242.60,230.65,0.07960
15:52:20,12/7/2024,FRI,62.10,22.90,22.87,242.44,230.57,0.07895
15:52:20,12/7/2024,FRI,62.10,22.90,22.87,242.54,230.71,0.07927
15:52:21,12/7/2024,FRI,62.10,22.90,22.87,242.62,230.65,0.07969
15:52:21,12/7/2024,FRI,62.10,22.90,22.87,242.81,230.62,0.08059
15:52:21,12/7/2024,FRI,62.10,22.90,22.87,243.10,230.75,0.08175
15:52:21,12/7/2024,FRI,62.10,22.90,22.87,243.24,230.77,0.08234
15:52:22,12/7/2024,FRI,62.10,22.90,22.87,243.08,230.68,0.08170
15:52:22,12/7/2024,FRI,62.10,22.90,22.87,242.99,230.78,0.08123
15:52:22,12/7/2024,FRI,62.10,22.90,22.87,243.08,230.80,0.08159
15:52:22,12/7/2024,FRI,62.10,22.90,22.87,243.31,230.97,0.08244
15:52:23,12/7/2024,FRI,62.10,22.90,22.87,243.30,230.90,0.08249
15:52:23,12/7/2024,FRI,62.10,22.90,22.87,243.37,230.80,0.08290
15:52:23,12/7/2024,FRI,62.10,22.90,22.87,243.32,230.77,0.08270
15:52:23,12/7/2024,FRI,62.10,22.90,22.87,243.45,230.93,0.08313
15:52:24,12/7/2024,FRI,62.10,22.90,22.87,243.33,230.89,0.08264
15:52:24,12/7/2024,FRI,62.10,22.90,22.87,243.33,230.93,0.08259
15:52:24,12/7/2024,FRI,62.10,22.90,22.87,243.29,230.93,0.08241
15:52:25,12/7/2024,FRI,62.10,22.90,22.87,243.40,231.02,0.08279
15:52:25,12/7/2024,FRI,62.10,22.90,22.87,243.35,230.98,0.08261
15:52:25,12/7/2024,FRI,62.10,22.90,22.87,243.28,230.95,0.08235
15:52:25,12/7/2024,FRI,62.10,22.90,22.87,243.59,231.20,0.08349
15:52:26,12/7/2024,FRI,62.10,22.90,22.87,243.62,231.20,0.08359
15:52:26,12/7/2024,FRI,62.10,22.90,22.87,243.86,231.39,0.08451
15:52:26,12/7/2024,FRI,62.10,22.90,22.87,243.76,231.34,0.08408
15:52:26,12/7/2024,FRI,62.10,22.90,22.87,243.73,231.31,0.08399
15:52:27,12/7/2024,FRI,62.10,22.90,22.87,243.64,231.23,0.08365
15:52:27,12/7/2024,FRI,62.10,22.90,22.87,243.85,231.26,0.08455
15:52:27,12/7/2024,FRI,62.10,22.90,22.87,243.89,231.20,0.08482
15:52:28,12/7/2024,FRI,62.10,22.90,22.87,244.00,231.26,0.08527
15:52:28,12/7/2024,FRI,62.10,22.90,22.87,244.02,231.05,0.08554
15:52:28,12/7/2024,FRI,62.10,22.90,22.87,243.97,230.86,0.08553
15:52:28,12/7/2024,FRI,62.10,22.90,22.87,243.98,230.94,0.08547
15:52:29,12/7/2024,FRI,62.10,22.90,22.87,243.92,230.89,0.08525
15:52:29,12/7/2024,FRI,62.10,22.90,22.87,244.05,230.91,0.08584
15:52:29,12/7/2024,FRI,62.10,22.90,22.87,244.10,230.92,0.08603
15:52:29,12/7/2024,FRI,62.10,22.90,22.87,244.22,230.95,0.08657
15:52:30,12/7/2024,FRI,62.10,22.90,22.87,244.14,231.00,0.08616
15:52:30,12/7/2024,FRI,62.10,22.90,22.87,244.04,230.86,0.08583
15:52:30,12/7/2024,FRI,62.10,22.90,22.87,244.06,230.82,0.08596
15:52:30,12/7/2024,FRI,62.10,22.90,22.87,244.21,231.06,0.08640
15:52:31,12/7/2024,FRI,62.10,22.90,22.87,244.17,231.07,0.08623
15:52:31,12/7/2024,FRI,62.10,22.90,22.87,244.35,231.08,0.08702
15:52:31,12/7/2024,FRI,62.10,22.90,22.87,244.53,231.18,0.08772
15:52:31,12/7/2024,FRI,62.10,22.90,22.87,244.48,231.18,0.08748
15:52:32,12/7/2024,FRI,62.10,22.90,22.87,244.60,231.34,0.08787
15:52:32,12/7/2024,FRI,62.10,22.90,22.87,244.69,231.37,0.08824
