Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V
21:42:18,1/1/2000,SAT,99.90,18.00,18.46,228.61,241.45,0.00280
21:42:18,1/1/2000,SAT,99.90,18.00,18.46,228.53,241.41,0.00255
21:42:18,1/1/2000,SAT,99.90,18.00,18.46,228.67,241.56,0.00270
21:42:18,1/1/2000,SAT,99.90,18.00,18.46,228.66,241.52,0.00280
21:42:19,1/1/2000,SAT,99.90,18.20,18.68,228.85,241.56,0.00355
21:42:19,1/1/2000,SAT,99.90,18.20,18.68,228.95,241.63,0.00381
21:42:20,1/1/2000,SAT,99.90,18.20,18.68,229.10,241.73,0.00415
21:42:21,1/1/2000,SAT,99.90,18.20,18.68,229.21,241.74,0.00460
21:42:21,1/1/2000,SAT,99.90,18.20,18.68,229.17,241.67,0.00465
21:42:21,1/1/2000,SAT,99.90,18.20,18.68,229.22,241.67,0.00485
21:42:21,1/1/2000,SAT,99.90,18.20,18.68,229.30,241.79,0.00488
21:42:22,1/1/2000,SAT,99.90,18.20,18.68,229.35,241.79,0.00505
21:42:22,1/1/2000,SAT,99.90,18.20,18.68,229.20,241.68,0.00478
21:42:22,1/1/2000,SAT,99.90,18.20,18.68,229.14,241.74,0.00430
21:42:22,1/1/2000,SAT,99.90,18.20,18.68,229.04,241.73,0.00386
21:42:23,1/1/2000,SAT,99.90,18.10,18.57,229.07,241.74,0.00395
21:42:23,1/1/2000,SAT,99.90,18.10,18.57,228.91,241.57,0.00377
21:42:23,1/1/2000,SAT,99.90,18.10,18.57,228.87,241.64,0.00339
21:42:23,1/1/2000,SAT,99.90,18.10,18.57,228.86,241.56,0.00357
21:42:24,1/1/2000,SAT,99.90,18.10,18.57,228.85,241.63,0.00332
21:42:24,1/1/2000,SAT,99.90,18.10,18.57,228.73,241.47,0.00327
21:42:24,1/1/2000,SAT,99.90,18.10,18.57,228.79,241.47,0.00354
21:42:24,1/1/2000,SAT,99.90,18.10,18.57,228.83,241.52,0.00357
21:42:25,1/1/2000,SAT,99.90,18.10,18.57,228.88,241.48,0.00391
21:42:25,1/1/2000,SAT,99.90,18.10,18.57,228.77,241.40,0.00365
21:42:25,1/1/2000,SAT,99.90,18.10,18.57,228.80,241.43,0.00372
21:42:25,1/1/2000,SAT,99.90,18.10,18.57,228.85,241.50,0.00370
21:42:26,1/1/2000,SAT,99.90,18.10,18.57,228.75,241.38,0.00364
21:42:26,1/1/2000,SAT,99.90,18.10,18.57,228.67,241.40,0.00321
21:42:26,1/1/2000,SAT,99.90,18.10,18.57,228.67,241.26,0.00366
21:42:26,1/1/2000,SAT,99.90,18.10,18.57,228.68,241.26,0.00372
21:42:27,1/1/2000,SAT,99.90,18.10,18.57,228.70,241.36,0.00348
21:42:27,1/1/2000,SAT,99.90,18.10,18.57,228.80,241.33,0.00399
21:42:27,1/1/2000,SAT,99.90,18.10,18.57,228.76,241.32,0.00385
21:42:27,1/1/2000,SAT,99.90,18.10,18.57,228.89,241.35,0.00435
21:42:28,1/1/2000,SAT,99.90,18.10,18.57,228.91,241.43,0.00424
21:42:28,1/1/2000,SAT,99.90,18.10,18.57,228.88,241.41,0.00412
21:42:28,1/1/2000,SAT,99.90,18.10,18.57,228.96,241.44,0.00441
21:42:28,1/1/2000,SAT,99.90,18.10,18.57,228.98,241.46,0.00443
21:42:29,1/1/2000,SAT,99.90,18.10,18.57,229.01,241.60,0.00412
21:42:29,1/1/2000,SAT,99.90,18.10,18.57,229.02,241.60,0.00415
21:42:29,1/1/2000,SAT,99.90,18.10,18.57,228.96,241.56,0.00405
21:42:29,1/1/2000,SAT,99.90,18.10,18.57,228.99,241.60,0.00405
21:42:30,1/1/2000,SAT,99.90,18.10,18.57,228.94,241.55,0.00399
21:42:30,1/1/2000,SAT,99.90,18.10,18.57,228.84,241.58,0.00342
21:42:30,1/1/2000,SAT,99.90,18.10,18.57,228.80,241.58,0.00323
21:42:31,1/1/2000,SAT,99.90,18.10,18.57,228.85,241.70,0.00310
21:42:31,1/1/2000,SAT,99.90,18.10,18.57,228.79,241.59,0.00320
21:42:31,1/1/2000,SAT,99.90,18.10,18.57,228.73,241.50,0.00317
21:42:31,1/1/2000,SAT,99.90,18.10,18.57,228.62,241.43,0.00291
21:42:32,1/1/2000,SAT,99.90,18.10,18.57,228.58,241.40,0.00283
21:42:32,1/1/2000,SAT,99.90,18.10,18.57,228.48,241.34,0.00254
21:42:32,1/1/2000,SAT,99.90,18.10,18.57,228.54,241.38,0.00269
21:42:32,1/1/2000,SAT,99.90,18.10,18.57,228.60,241.41,0.00287
21:42:33,1/1/2000,SAT,99.90,18.10,18.57,228.55,241.35,0.00285
21:42:33,1/1/2000,SAT,99.90,18.10,18.57,228.53,241.33,0.00279
21:42:33,1/1/2000,SAT,99.90,18.10,18.57,228.41,241.18,0.00272
21:42:33,1/1/2000,SAT,99.90,18.10,18.57,228.49,241.20,0.00302
21:42:34,1/1/2000,SAT,99.90,18.10,18.57,228.58,241.26,0.00326
21:42:34,1/1/2000,SAT,99.90,18.10,18.57,228.74,241.41,0.00351
21:42:34,1/1/2000,SAT,99.90,18.10,18.57,228.82,241.42,0.00383
21:42:34,1/1/2000,SAT,99.90,18.10,18.57,228.88,241.51,0.00384
21:42:35,1/1/2000,SAT,99.90,18.10,18.57,228.94,241.50,0.00414
21:42:35,1/1/2000,SAT,99.90,18.10,18.57,228.96,241.42,0.00446
21:42:35,1/1/2000,SAT,99.90,18.10,18.57,229.05,241.42,0.00489
21:42:35,1/1/2000,SAT,99.90,18.10,18.57,229.16,241.40,0.00544
21:42:36,1/1/2000,SAT,99.90,18.10,18.57,229.23,241.46,0.00556
21:42:36,1/1/2000,SAT,99.90,18.10,18.57,229.24,241.58,0.00523
21:42:36,1/1/2000,SAT,99.90,18.10,18.57,229.17,241.57,0.00493
21:42:36,1/1/2000,SAT,99.90,18.10,18.57,229.14,241.59,0.00475
21:42:37,1/1/2000,SAT,99.90,18.10,18.57,229.01,241.54,0.00433
21:42:37,1/1/2000,SAT,99.90,18.10,18.57,228.95,241.43,0.00438
21:42:37,1/1/2000,SAT,99.90,18.10,18.57,228.92,241.45,0.00421
21:42:37,1/1/2000,SAT,99.90,18.10,18.57,228.90,241.48,0.00399
21:42:38,1/1/2000,SAT,99.90,18.10,18.57,228.75,241.42,0.00351
